scenario,seed,model,acc,fit,pred,arity,n_features,noise
noise 10%,47,XGBoost(500),0.512,1.0380781665444374,0.0027977502904832363,5,16,0.1
noise 10%,47,MLP(256-128-64),0.5125,11.092768957838416,0.001852917019277811,5,16,0.1
noise 10%,47,"SVM(poly,d=6)",0.497,0.6120292912237346,0.13060883292928338,5,16,0.1
noise 10%,47,WSRF,0.7915,10.646679874975234,2.844981166999787,5,16,0.1
noise 20%,13,LogisticRegression,0.5,0.01332945842295885,0.00017187511548399925,5,16,0.2
noise 20%,13,RandomForest(500),0.5015,1.9567678747698665,0.049677707720547915,5,16,0.2
noise 20%,13,GradientBoosting(300),0.497,12.818596249911934,0.006094874814152718,5,16,0.2
noise 20%,13,XGBoost(500),0.4965,1.0667584580369294,0.0026218327693641186,5,16,0.2
noise 20%,13,MLP(256-128-64),0.5085,10.215941708069295,0.0019505000673234463,5,16,0.2
noise 20%,13,"SVM(poly,d=6)",0.5025,0.6070015830919147,0.13256558310240507,5,16,0.2
noise 20%,13,WSRF,0.7125,11.19496295787394,4.083700167015195,5,16,0.2
noise 20%,31,LogisticRegression,0.508,0.012631749734282494,0.00016166595742106438,5,16,0.2
noise 20%,31,RandomForest(500),0.4995,2.4540448328480124,0.05282779177650809,5,16,0.2
noise 20%,31,GradientBoosting(300),0.51,12.953849666751921,0.006438374985009432,5,16,0.2
noise 20%,31,XGBoost(500),0.502,1.0700599998235703,0.002906584180891514,5,16,0.2
noise 20%,31,MLP(256-128-64),0.4915,11.410991167183965,0.001635709311813116,5,16,0.2
noise 20%,31,"SVM(poly,d=6)",0.5005,0.6182602075859904,0.13275612518191338,5,16,0.2
noise 20%,31,WSRF,0.6845,11.285548291169107,3.753527124878019,5,16,0.2
noise 20%,47,LogisticRegression,0.509,0.013346541672945023,0.00014295801520347595,5,16,0.2
noise 20%,47,RandomForest(500),0.4995,1.961907709017396,0.05266708321869373,5,16,0.2
noise 20%,47,GradientBoosting(300),0.4875,12.861053083091974,0.006236792076379061,5,16,0.2
noise 20%,47,XGBoost(500),0.4845,1.072271917015314,0.0027038748376071453,5,16,0.2
noise 20%,47,MLP(256-128-64),0.5015,11.252971750218421,0.0017447923310101032,5,16,0.2
noise 20%,47,"SVM(poly,d=6)",0.48,0.6099632093682885,0.13081691693514585,5,16,0.2
noise 20%,47,WSRF,0.666,10.784848333802074,3.8764788336120546,5,16,0.2
noise 30%,13,LogisticRegression,0.495,0.030518541112542152,0.000462499912828207,5,16,0.3
noise 30%,13,RandomForest(500),0.5095,1.9743907917290926,0.04960312508046627,5,16,0.3
noise 30%,13,GradientBoosting(300),0.4995,12.77068795915693,0.006195500027388334,5,16,0.3
noise 30%,13,XGBoost(500),0.5085,1.04033724963665,0.0026913750916719437,5,16,0.3
noise 30%,13,MLP(256-128-64),0.4875,10.952940083574504,0.0018095001578330994,5,16,0.3
noise 30%,13,"SVM(poly,d=6)",0.517,0.6169572086073458,0.1312206252478063,5,16,0.3
noise 30%,13,WSRF,0.5845,17.063720958307385,5.0516487499699,5,16,0.3
noise 30%,31,LogisticRegression,0.514,0.9134960840456188,0.0004150844179093838,5,16,0.3
noise 30%,31,RandomForest(500),0.514,1.910073374863714,0.05124358320608735,5,16,0.3
noise 30%,31,GradientBoosting(300),0.4945,12.638213958125561,0.006244249641895294,5,16,0.3
noise 30%,31,XGBoost(500),0.4935,1.026432459242642,0.002660249825567007,5,16,0.3
noise 30%,31,MLP(256-128-64),0.497,11.019377749878913,0.001646582968533039,5,16,0.3
noise 30%,31,"SVM(poly,d=6)",0.4885,0.6226418330334127,0.1326968753710389,5,16,0.3
noise 30%,31,WSRF,0.613,16.870428499765694,5.172667834442109,5,16,0.3
noise 30%,47,LogisticRegression,0.509,0.9055739999748766,0.0018085828050971031,5,16,0.3
noise 30%,47,RandomForest(500),0.4795,2.015946665778756,0.05037120822817087,5,16,0.3
noise 30%,47,GradientBoosting(300),0.4845,12.78199979197234,0.005989958997815847,5,16,0.3
noise 30%,47,XGBoost(500),0.4935,1.0313669168390334,0.002633832860738039,5,16,0.3
noise 30%,47,MLP(256-128-64),0.4995,11.085138166788965,0.0019890828989446163,5,16,0.3
noise 30%,47,"SVM(poly,d=6)",0.502,0.6211352092213929,0.1312977080233395,5,16,0.3
noise 30%,47,WSRF,0.5625,17.47498904215172,5.393908415921032,5,16,0.3
